月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
1,12,10,2.51,2.072797806,252.4984956,178.8490908,85.69919389,25,-34
1,12,11,3.6,2.059091031,921.4618244,89.83882306,90.40699694,31,-20
1,12,12,5.71,2.39915297,906.9728808,95.82872556,92.56509389,33,-3
1,12,13,6.83,2.470325449,759.3974444,114.4938286,95.96603083,32,13
1,12,14,7.33,2.461792735,573.6902731,142.8287922,98.24616167,28,28
1,12,15,7.5,2.490702128,272.9210206,158.6768794,98.44131083,21,42
1,12,16,7.25,2.605890859,18.17375111,82.45284083,95.29689472,12,53
1,12,17,6.34,2.755243431,0,0,88.81594444,1,62
1,12,18,5.61,2.607677583,0,0,88.34810972,-10,70
1,12,19,5.06,2.514818498,0,0,87.72746361,-22,78
1,12,20,4.27,2.55341488,0,0,83.75962611,-34,85
1,12,21,2.72,2.613953193,0,0,76.3409025,-46,86
1,12,22,1.69,2.705592772,0,0,70.57206111,-58,75
1,12,23,0.94,2.704669583,0,0,67.59548361,-70,56
1,12,24,0.08,2.662517802,0,0,64.93508417,-77,13
1,13,1,-0.41,2.557870239,0,0,64.87746083,-73,-42
1,13,2,-0.91,2.501120743,0,0,63.95325056,-63,-68
1,13,3,-1.47,2.444153246,0,0,62.82337917,-51,-82
1,13,4,-1.86,2.35158619,0,0,63.040445,-39,-89
1,13,5,-2.16,2.312743507,0,0,62.61959444,-27,-81
1,13,6,-2.5,2.261299042,0,0,62.29703306,-15,-74
1,13,7,-2.03,2.37423109,0,0,61.96131306,-3,-66
1,13,8,-1.6,2.477938623,1043.916933,21.46723528,61.69995361,8,-57
1,13,9,0.84,2.76553661,935.2531864,50.00212389,66.13829361,17,-47
1,13,10,4.33,2.811507688,925.1184311,73.8581825,79.46649639,26,-34
1,13,11,7.41,2.66021232,896.50451,87.76193194,95.01383694,31,-20
1,13,12,9.81,2.471819334,476.7175106,189.5105606,108.7640236,34,-3
1,13,13,11.62,2.443067407,826.4876236,101.2004461,117.28293,33,13
1,13,14,11.71,2.45770627,664.1144719,122.9159311,117.4147139,28,28
1,13,15,11.4,2.607693288,38.06682278,154.4419347,113.3180453,21,42
1,13,16,11.06,2.79394533,8.750197222,72.5930575,108.5440956,12,53
1,13,17,9.73,2.973482246,0,0,99.64835167,2,62
1,13,18,9.04,3.080298268,0,0,94.87787194,-10,70
1,13,19,8.34,2.807880884,0,0,96.42496306,-22,78
1,13,20,7.85,2.906060614,0,0,92.64870444,-34,86
1,13,21,7.29,3.176323875,0,0,85.79654028,-46,86
1,13,22,7.45,3.224281303,0,0,85.70694972,-58,75
1,13,23,7.26,3.30887101,0,0,83.55135278,-69,55
1,13,24,6.68,3.312724755,0,0,81.03003333,-77,13
1,14,1,6.45,3.242447082,0,0,81.17515944,-73,-41
1,14,2,6.01,3.516310909,0,0,75.03848194,-63,-68
1,14,3,5.93,3.733616892,0,0,71.42216611,-51,-81
1,14,4,5.56,4.156935321,0,0,63.75053028,-39,-89
1,14,5,4.98,4.728560902,0,0,53.55171306,-27,-81
1,14,6,5.1,5.14645096,0,0,48.66114028,-15,-74
1,14,7,5.28,5.284070671,0,0,47.68489389,-3,-66
1,14,8,4.2,4.948248928,0,0,47.46430028,8,-57
1,14,9,3.7,4.825528476,0.169382778,13.74223889,47.00178306,18,-47
1,14,10,3.3,4.738358811,0.102748611,15.98198556,46.50970083,26,-34
1,14,11,3.3,4.738358811,0.110921944,20.35568556,46.50970083,31,-20
1,14,12,3.53,4.816591238,0.070715556,17.6776375,46.42287806,34,-4
1,14,13,3.58,4.833750153,0.055285,15.40230278,46.40346444,33,13
1,14,14,4.61,5.199590004,0.219715833,27.26356056,45.96026917,28,28
1,14,15,6.73,6.031397518,0.172452222,18.78049222,44.78179917,21,42
1,14,16,7.47,6.348576073,0,0,44.28356,12,53
1,14,17,7.59,6.401391389,0,0,44.19843389,2,62
1,14,18,7.5,6.361743264,0,0,44.2623925,-10,70
1,14,19,7.65,6.427946001,0,0,44.15541472,-21,78
1,14,20,7.7,6.450149995,0,0,44.1193325,-34,86
1,14,21,7.6,6.405810339,0,0,44.19128528,-46,86
1,14,22,7.26,6.257085555,0,0,44.42961139,-58,74
1,14,23,8.12,6.639386936,0,0,43.80785778,-69,55
1,14,24,7.49,6.357351491,0,0,44.26945667,-77,13
1,15,1,6.86,6.086070983,0,0,44.69758083,-73,-41
1,15,2,6.25,5.833307157,0,0,45.08064778,-63,-67
1,15,3,6.38,5.886374239,0,0,45.00158528,-51,-81
1,15,4,6.62,5.985478564,0,0,44.85196611,-39,-89
1,15,5,7.73,6.463505269,0,0,44.09758167,-27,-81
1,15,6,7.48,6.352962428,0,0,44.2765125,-15,-74
1,15,7,7.67,6.436819389,0,0,44.14100722,-3,-66
1,15,8,8.06,6.612052861,1070.069135,22.47722833,43.85327444,8,-57
1,15,9,8.76,6.93729832,964.0327886,52.0956475,43.30418333,18,-47
1,15,10,9.52,7.3065491,971.1235836,78.22562667,42.65991972,26,-35
1,15,11,9.27,7.183191159,954.3694542,94.23039694,42.87742361,31,-20
1,15,12,9.32,7.207712706,928.7793531,99.70665056,42.83436167,34,-4
1,15,13,12.62,8.209363911,855.8993864,97.605615,47.16871889,33,13
1,15,14,4.49,4.269570799,732.5002864,109.1672639,57.73051889,29,28
1,15,15,4.2,3.445292574,300.4845086,158.9829492,68.60696472,21,42
1,15,16,3.45,3.073130809,4.943543611,60.83182556,71.46356306,12,53
1,15,17,2.79,3.020002852,0,0,69.65365056,2,62
1,15,18,2.53,2.86455532,0,0,71.20982639,-9,70
1,15,19,2.03,2.90391505,0,0,68.52629333,-21,78
1,15,20,1.74,2.878332952,0,0,67.79503639,-33,86
1,15,21,1.47,2.869172908,0,0,66.86980528,-46,86
1,15,22,0.98,2.903398258,0,0,64.3364675,-58,74
1,15,23,0.74,2.997080526,0,0,61.81345111,-69,55
1,15,24,0.37,2.956442254,0,0,61.02724972,-76,13
1,16,1,-0.24,3.028586983,0,0,57.42583583,-73,-40
1,16,2,0.98,2.826218284,0,0,65.64939,-63,-67
1,16,3,0.98,2.862774843,0,0,65.02528389,-51,-81
1,16,4,0.8,2.937955659,0,0,63.03941778,-39,-90
1,16,5,0.8,2.873791969,0,0,64.12306278,-27,-82
1,16,6,0.92,2.870583815,0,0,64.65402583,-15,-74
1,16,7,0.9,2.86238847,0,0,64.71394028,-3,-66
1,16,8,0.94,2.939561095,5.306524167,29.978905,63.56839056,8,-57
